concept_id,concept,direction,selection,event_id,prompt,prompt_group_id,preferred_image_id,rejected_image_id,preferred_score,rejected_score,difference,preferred_thumbnail,rejected_thumbnail,preferred_metadata,rejected_metadata,human_review_status,concept_present_preferred,concept_present_rejected,reviewer_notes
27330,lip-syncing,1,supportive,imagereward:test:010264-0028,"a realistic detailed cinematic painting of a beautiful clear glass vibrant consciousness of human evolution, strange miraculous entity reflecting light prism, spiritual enlightenment, manifestation, peace, reincarnation, memories of past lives, triumph, beauty, perfection, opal statues adorned in jewels, by david a. hardy, kinkade, lisa frank, wpa, public works mural, socialist ",1550579cbf3a97ece6f276255c6670470e7256cdddaebab43c247817f10a00b1,imagereward:images/test/test_2/2fb288a8-1bd6-4a86-92b4-9ba3ee406dc9.webp,imagereward:images/test/test_2/f0e3b083-c78d-4ad0-a76e-0bd29e131cdf.webp,0.3190940022468567,0.21740955114364624,0.10168445110321045,gallery_images/560462dfa656bbc3cc005ce5.jpg,gallery_images/1b8c6b3a787090bdffc9012f.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}",unverified,,,
27330,lip-syncing,1,supportive,imagereward:test:008328-0024,"a portrait of a red - skinned dragonborn monk in a plain white cloak white cloak, holding a spear with a black tip, fantasy art by greg rutkowski ",e375c383a8fb1f82436cddd04ae6107fa1cb1c5ad9080ca9bcf9e4f755414fb3,imagereward:images/test/test_1/cb831716-5734-40f0-b0e4-c3518d5ab540.webp,imagereward:images/test/test_1/2368f177-8821-41ea-9e28-cf6f3da5b3b0.webp,0.3019929528236389,0.22471210360527039,0.07728084921836853,gallery_images/172c0241a45704cf9614e711.jpg,gallery_images/c1ff33df92076151eec03da2.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}",unverified,,,
27330,lip-syncing,1,counterexample,imagereward:test:007592-0020,scene from a 2 0 1 0 film by artemisia gentileschi showing a woman ,c7cb14d66e30e4345815e88e73aade80d37c97feefc78cb0dc9a6de4a43b57ff,imagereward:images/test/test_1/ab9d23bb-d9c4-48dd-9d7d-dfe8d761faf4.webp,imagereward:images/test/test_1/ce94f233-0138-4420-8d36-4259dd61fafc.webp,0.29062414169311523,0.3396807312965393,-0.04905658960342407,gallery_images/88237082ba2a81ca37ef232d.jpg,gallery_images/2b9f4735dd0d27c009d51260.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}",unverified,,,
27330,lip-syncing,1,counterexample,imagereward:test:008294-0028,"a character sheet showing 4 different designs for an evil sorcerer in ornamental robes with glowing runes on fabric, holding a tall glowing ornate intricate magical staff, video game concept art by greg rutkowski, craig mullins, weta, elder scrolls ",6507a0b34a8e92f4f8932727dafca057b1486a32d532ffbb2c8c37a0f3d09222,imagereward:images/test/test_1/fbd15eba-4697-4ba5-82f0-6cb87a87729c.webp,imagereward:images/test/test_1/d4df54b0-5758-428c-b66a-4a498580b76c.webp,0.24281896650791168,0.2914755940437317,-0.04865662753582001,gallery_images/3c2d1c5b7d7e675632585f9d.jpg,gallery_images/fd2fbbd6ab0d2ee24b5f313b.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}",unverified,,,
27330,lip-syncing,1,random_audit,imagereward:test:008151-0078,"raytraced render and digital painting of the inconceivable and spectacular a scene of complete madness, by greg rutkowski and michelangelo buonarroti and kinkade, cosmic entities, celestial, cosmic, luxury, elegant, ornate, vibrant and vivid, smooth, soft billowing smoke, darkness, bright, heavenly, elegant, swirls, cosmic flower, nebula vines, nebula tree, twirling, billowing, cinematic, unrealistic, high contrast, hdr, 4 k, artstation, cgsociety, unreal engine, symobolism, magical, mystical, mystifying, obscure, perplexing, zbrush, octane, hyperrealistic, bokeh, dof ",135ca71c388464401fc136707c96fc9dfcc231d8a1ecdbf53bb10315ae68b417,imagereward:images/test/test_1/17211f8e-b31f-4b05-9b29-3349b35b1901.webp,imagereward:images/test/test_1/97a1d50a-e446-4d0a-8c38-d0b4a4e93292.webp,0.1820252239704132,0.18120095133781433,0.000824272632598877,gallery_images/0d12f34e07106617b2f6512b.jpg,gallery_images/5771a73270a8a0ab2f24118a.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}",unverified,,,
27330,lip-syncing,1,random_audit,imagereward:test:001221-0062,"rainy dystopian city from the year 3000, futuristic, neon lights, cyberpunk, atmospheric, detailed, unreal engine, octane render,",8d11fa1fddefce0b5bec4a9ba83df76dd82769f83d3ecd8cb3b0a8089dc9098d,imagereward:images/test/test_2/8804c259-e32a-45a7-8166-6062af0b2a4f.webp,imagereward:images/test/test_2/7d44d245-50cd-4680-bccc-981ebe86a2bd.webp,0.21197140216827393,0.23333700001239777,-0.02136559784412384,gallery_images/03dcf4f0481949e85f2c44c9.jpg,gallery_images/9d584cedde7122aeb394c4e2.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}",unverified,,,
27328,lip-smacking,1,supportive,imagereward:test:001242-0093,photo of a guy playing a gameboy under the blanket in his bed at night ,f8ba5a2b702c53fb8fe74bd7512d4a35e39cd1e1049147c81b1cd9cbb7fde449,imagereward:images/test/test_2/0eb1d034-1cb8-4e8b-b757-9294827150f5.webp,imagereward:images/test/test_2/dd4650be-f68f-4941-9b0d-e12ecceb372e.webp,0.3324458599090576,0.22300224006175995,0.10944361984729767,gallery_images/a134820304029521c7347bed.jpg,gallery_images/8f7615d3a5eb6f22361f7ac1.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}",unverified,,,
27328,lip-smacking,1,supportive,imagereward:test:010264-0028,"a realistic detailed cinematic painting of a beautiful clear glass vibrant consciousness of human evolution, strange miraculous entity reflecting light prism, spiritual enlightenment, manifestation, peace, reincarnation, memories of past lives, triumph, beauty, perfection, opal statues adorned in jewels, by david a. hardy, kinkade, lisa frank, wpa, public works mural, socialist ",1550579cbf3a97ece6f276255c6670470e7256cdddaebab43c247817f10a00b1,imagereward:images/test/test_2/2fb288a8-1bd6-4a86-92b4-9ba3ee406dc9.webp,imagereward:images/test/test_2/f0e3b083-c78d-4ad0-a76e-0bd29e131cdf.webp,0.3227550983428955,0.23330190777778625,0.08945319056510925,gallery_images/560462dfa656bbc3cc005ce5.jpg,gallery_images/1b8c6b3a787090bdffc9012f.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}",unverified,,,
27328,lip-smacking,1,counterexample,imagereward:test:001227-0027,footage of an astronaut in a tropical beach,c5920b72d420fbbaeceb7fd54341770c516c79bf58d2d01191d15b911079b853,imagereward:images/test/test_2/408e016e-4e03-4fd4-b816-d66f2806bfa3.webp,imagereward:images/test/test_2/6bbd7128-30da-4978-89e5-b09b61e83e34.webp,0.19846269488334656,0.27257922291755676,-0.0741165280342102,gallery_images/110000c91013b6ce8f2f8872.jpg,gallery_images/dbbc66754cbc431eb55cfcc5.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}",unverified,,,
27328,lip-smacking,1,counterexample,imagereward:test:008294-0028,"a character sheet showing 4 different designs for an evil sorcerer in ornamental robes with glowing runes on fabric, holding a tall glowing ornate intricate magical staff, video game concept art by greg rutkowski, craig mullins, weta, elder scrolls ",6507a0b34a8e92f4f8932727dafca057b1486a32d532ffbb2c8c37a0f3d09222,imagereward:images/test/test_1/fbd15eba-4697-4ba5-82f0-6cb87a87729c.webp,imagereward:images/test/test_1/d4df54b0-5758-428c-b66a-4a498580b76c.webp,0.24798253178596497,0.309035062789917,-0.061052531003952026,gallery_images/3c2d1c5b7d7e675632585f9d.jpg,gallery_images/fd2fbbd6ab0d2ee24b5f313b.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Arts""}",unverified,,,
