concept_id,concept,direction,selection,event_id,prompt,prompt_group_id,preferred_image_id,rejected_image_id,preferred_score,rejected_score,difference,preferred_thumbnail,rejected_thumbnail,preferred_metadata,rejected_metadata,human_review_status,concept_present_preferred,concept_present_rejected,reviewer_notes
15414,emerald-green,1,supportive,imagereward:test:008289-0059,"film still of the geisha robot from ghost in the shell, cinematic lighting, 3 5 mm, high resolution ",3bd7d4dddc3e23f3607fda60a8645e56af48b86a319f4d55650264f6bab14574,imagereward:images/test/test_1/8500f76d-bd6c-4e65-b949-eb574b7a8652.webp,imagereward:images/test/test_1/3202d894-05ac-48da-a7d2-ba160a5c786d.webp,0.2950185537338257,0.1696917712688446,0.12532678246498108,gallery_images/86c2f23a67759e2fd592b5f2.jpg,gallery_images/d5abce8ec50c87b9e5bc519c.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Artifacts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Artifacts""}",unverified,,,
15414,emerald-green,1,supportive,imagereward:test:010921-0064,"a bright fantasy city built between cliffs, sleek glass buildings, elegant bridges between stalactites, illustration, raining, dark and moody lighting, at night, digital art, oil painting, cold blue tones, fantasy, 8 k, trending on artstation, detailed ",665c1a33f8f1af344f90fa208a200d26840e5d698cb7054b07fa9ce4364938a1,imagereward:images/test/test_2/2a99d448-fa70-4bf2-bfd0-a6c30191a849.webp,imagereward:images/test/test_2/f0c4de4f-0e70-44e5-a872-8e0a11e94df3.webp,0.23898932337760925,0.16013774275779724,0.07885158061981201,gallery_images/ffa92187f93bb9140d50d08b.jpg,gallery_images/4f189977b012407e5e64abad.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Outdoor Scenes""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Outdoor Scenes""}",unverified,,,
15414,emerald-green,1,counterexample,imagereward:test:008289-0059,"film still of the geisha robot from ghost in the shell, cinematic lighting, 3 5 mm, high resolution ",3bd7d4dddc3e23f3607fda60a8645e56af48b86a319f4d55650264f6bab14574,imagereward:images/test/test_1/d5a97b27-8f4d-444b-ac87-b756a3fd4bae.webp,imagereward:images/test/test_1/8500f76d-bd6c-4e65-b949-eb574b7a8652.webp,0.18200573325157166,0.2950185537338257,-0.11301282048225403,gallery_images/e1c8d204d61512a98cab0302.jpg,gallery_images/86c2f23a67759e2fd592b5f2.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Artifacts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Artifacts""}",unverified,,,
15414,emerald-green,1,counterexample,imagereward:test:007108-0023,"Drama King, photorealistic portrait, 8K, Cinematic lights",ef2867fcf92c49c0e0df371e211de33e9cb3a855515d164fb388da6adfa9674f,imagereward:images/test/test_1/2fdb6c81-e1bd-460c-84e2-2bf3b295a40d.webp,imagereward:images/test/test_1/25f0aa4b-a463-45c7-9274-48717f86165f.webp,0.16274094581604004,0.2532028555870056,-0.09046190977096558,gallery_images/af77012debe518c25169cf76.jpg,gallery_images/e2c9723cc50be1650761e2d5.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}",unverified,,,
15414,emerald-green,1,random_audit,imagereward:test:010856-0009,funny peanut butter ,b18ea9950d494d375d0c180c19fd090da6228f69d114cdf9665f8628abd7a871,imagereward:images/test/test_2/de0d0967-da8b-4313-aabc-8586351f274e.webp,imagereward:images/test/test_2/8b7d05e4-9a3b-4c73-b087-104251033467.webp,0.1779111623764038,0.1646726429462433,0.013238519430160522,gallery_images/dab53c0cd368a25298f6d76d.jpg,gallery_images/3dc52bcc5f9d782b00729f67.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Food""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Food""}",unverified,,,
15414,emerald-green,1,random_audit,imagereward:test:010918-0030,the pope in saving private james ryan ,9ed63beff86d5e18e4048901428ee78733de38893029c7c73093da1301c7baa5,imagereward:images/test/test_2/80e1a909-135a-4157-9341-846f9d43e4f4.webp,imagereward:images/test/test_2/3967a17c-407b-4b0a-945b-33fa4de64faa.webp,0.23605887591838837,0.25852346420288086,-0.022464588284492493,gallery_images/cf64485ee41adcf41ca2a494.jpg,gallery_images/83472d02a58f9f0ef06a8458.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""People""}",unverified,,,
38940,red-flag,1,supportive,imagereward:test:010921-0064,"a bright fantasy city built between cliffs, sleek glass buildings, elegant bridges between stalactites, illustration, raining, dark and moody lighting, at night, digital art, oil painting, cold blue tones, fantasy, 8 k, trending on artstation, detailed ",665c1a33f8f1af344f90fa208a200d26840e5d698cb7054b07fa9ce4364938a1,imagereward:images/test/test_2/9de7e353-e646-4f34-b8c8-f2d00c2d2832.webp,imagereward:images/test/test_2/f0c4de4f-0e70-44e5-a872-8e0a11e94df3.webp,0.31166115403175354,0.1451433300971985,0.16651782393455505,gallery_images/28ae48dabcfd1c0a04dc2fce.jpg,gallery_images/4f189977b012407e5e64abad.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Outdoor Scenes""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Outdoor Scenes""}",unverified,,,
38940,red-flag,1,supportive,imagereward:test:010856-0009,funny peanut butter ,b18ea9950d494d375d0c180c19fd090da6228f69d114cdf9665f8628abd7a871,imagereward:images/test/test_2/531fca9a-19dd-4e5d-8e15-f9a6ece8b56a.webp,imagereward:images/test/test_2/8b7d05e4-9a3b-4c73-b087-104251033467.webp,0.2535242438316345,0.14029347896575928,0.11323076486587524,gallery_images/0b806a27ddcd7cc557d84d91.jpg,gallery_images/3dc52bcc5f9d782b00729f67.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Food""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Food""}",unverified,,,
38940,red-flag,1,counterexample,imagereward:test:010921-0064,"a bright fantasy city built between cliffs, sleek glass buildings, elegant bridges between stalactites, illustration, raining, dark and moody lighting, at night, digital art, oil painting, cold blue tones, fantasy, 8 k, trending on artstation, detailed ",665c1a33f8f1af344f90fa208a200d26840e5d698cb7054b07fa9ce4364938a1,imagereward:images/test/test_2/f0c4de4f-0e70-44e5-a872-8e0a11e94df3.webp,imagereward:images/test/test_2/526a66a5-f58c-49d7-a36e-4ab2f85631aa.webp,0.1451433300971985,0.27641576528549194,-0.13127243518829346,gallery_images/4f189977b012407e5e64abad.jpg,gallery_images/f0007ac692902def48712601.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Outdoor Scenes""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Outdoor Scenes""}",unverified,,,
38940,red-flag,1,counterexample,imagereward:test:008289-0059,"film still of the geisha robot from ghost in the shell, cinematic lighting, 3 5 mm, high resolution ",3bd7d4dddc3e23f3607fda60a8645e56af48b86a319f4d55650264f6bab14574,imagereward:images/test/test_1/d5a97b27-8f4d-444b-ac87-b756a3fd4bae.webp,imagereward:images/test/test_1/3202d894-05ac-48da-a7d2-ba160a5c786d.webp,0.22992202639579773,0.34136438369750977,-0.11144235730171204,gallery_images/e1c8d204d61512a98cab0302.jpg,gallery_images/d5abce8ec50c87b9e5bc519c.jpg,"{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Artifacts""}","{""model_id"": null, ""negative_prompt"": null, ""gs"": null, ""steps"": null, ""scheduler_cls"": null, ""classification"": ""Artifacts""}",unverified,,,
